,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
49,601127,赛力斯：4月28日召开董事会会议,赛力斯（SH 601127，收盘价：95.4元）4月29日晚间发布公告称，公司第五届第十次董事会会议于2024年4月28,2024-04-29 21:53:58,每日经济新闻,http://finance.eastmoney.com/a/202404293064166240.html
50,601127,小米量产第10000辆整车下线 仪式现场：防火要从平时检,此前的4月26日，山西运城一辆赛力斯（601127.SH）旗下问界M7车辆发生交通事故，司乘3人遇难，引发社会广泛关注。,2024-04-29 11:47:53,南方财经网,http://finance.eastmoney.com/a/202404293063608093.html
51,601127,22股获融资客逆市净买入超5000万元,0.2015592.81253803.890.15石油石化002714牧原股份2.5514585.29614284.273.47农林牧渔601127,2024-06-04 09:19:20,证券时报网,http://finance.eastmoney.com/a/202406043094730238.html
52,601127,首批9家车企获得准入和上路试点资格 L3级自动驾驶快来了,值得注意的是，此次公布的9大联合体并没有完全覆盖此前获得L3测试牌照的车企，比如奔驰、宝马、智己、阿维塔、赛力斯（601127,2024-06-05 12:24:20,红星资本局,http://finance.eastmoney.com/a/202406053096198918.html
53,601127,赛力斯将于5月20日召开股东大会,赛力斯（SH 601127，收盘价：95.4元）4月30日发布公告称，2024年5月20日14点00分，公司将在公司会议室召开,2024-04-30 00:41:31,每日经济新闻,http://finance.eastmoney.com/a/202404303064270392.html
54,601127,17股特大单净流入资金超1亿元,（数据宝）特大单净流入资金排名代码简称收盘价（元）涨跌幅（%）特大单净流入（亿元）行业601127赛力斯100.358.026.98,2024-06-18 16:46:36,证券时报网,http://finance.eastmoney.com/a/202406183106746438.html
55,601127,深沪北百元股数量达59只 科创板股票占49.15%,赛力斯101.191.093.26汽车300492华图山鼎101.06-2.190.33建筑装饰688047龙芯中科100.28,2024-06-20 16:36:51,证券时报网,http://finance.eastmoney.com/a/202406203109038090.html
56,601127,百元股数量达59只 电子、医药生物、食品饮料行业占比均超10%,赛力斯100.10-0.253.61汽车注：本文系新闻报道，不构成投资建议，股市有风险，投资需谨慎。,2024-06-19 17:19:04,证券时报网,http://finance.eastmoney.com/a/202406193107914240.html
57,601127,A股三大股指涨跌互现 两市成交7516亿元 半导体产业链走强,汽车股走高，奥联电子（300585）、索菱股份（002766）等涨停或涨超10%，兴民智通（002355）、赛力斯（601127,2024-06-17 15:34:04,澎湃新闻,http://stock.eastmoney.com/a/202406173105561088.html
58,601127,深沪北百元股数量达58只，电子行业占比最高,1.880.00医药生物000661长春高新101.97-0.400.73医药生物688037芯源微100.75-2.740.04电子601127,2024-06-18 16:46:41,证券时报网,http://finance.eastmoney.com/a/202406183106749129.html
59,601127,汽车行业资金流入榜：赛力斯等5股净流入资金超3000万元,（数据宝） 汽车行业资金流入榜 代码简称今日涨跌幅（%）今日换手率（%）主力资金流量（万元）601127赛力斯3.393.0744845.85002594,2024-05-31 16:40:24,证券时报网,http://stock.eastmoney.com/a/202405313092485640.html
60,601127,汽车行业6月4日资金流向日报,万安科技1.385.27755.94汽车行业资金流出榜 代码简称今日涨跌幅（%）今日换手率（%）主力资金流量（万元）601127,2024-06-04 17:16:08,证券时报网,http://stock.eastmoney.com/a/202406043095312958.html
61,601127,15股获融资客大手笔净买入,最新融资余额（万元）占流通市值比例（%）所属行业002410广联达7.4534981.4470811.623.22计算机601127,2024-05-20 09:35:01,证券时报网,http://stock.eastmoney.com/a/202405203081130168.html
62,601127,6月11日晚间上市公司利好消息一览(附名单),赛力斯：赛力斯汽车拟12.54亿元收购赛力斯电动剩余55%股权赛力斯6011276月11日晚间公告，2024年6月,2024-06-11 20:25:24,东方财富研究中心,http://finance.eastmoney.com/a/202406113100990841.html
63,601127,增长742%！又一家A股上市车企4月成绩单出炉,4月29日，赛力斯（601127.SH）发布2024年一季报和2023年年报。,2024-05-05 16:24:26,每日经济新闻,http://finance.eastmoney.com/a/202405053066525234.html
64,601127,主力动向：6月4日特大单净流出22.39亿元,网宿科技8.603.740.92计算机特大单净流出资金排名 代码简称收盘价（元）涨跌幅（%）特大单净流入（亿元）行业601127,2024-06-04 16:50:05,证券时报网,http://stock.eastmoney.com/a/202406043095284050.html
